name	male_count	female_count	overall_count	male_ratio	female_ratio	max_ratio	predominant_gender
almonzo	23.0	0.0	23.0	1.0	0.0	1.0	Male
almudena	0.0	45.0	45.0	0.0	1.0	1.0	Female
almyre	55.0	0.0	55.0	1.0	0.0	1.0	Male
alna	0.0	23.0	23.0	0.0	1.0	1.0	Female
alodie	0.0	137.0	137.0	0.0	1.0	1.0	Female
aloe	0.0	31.0	31.0	0.0	1.0	1.0	Female
aloha	0.0	62.0	62.0	0.0	1.0	1.0	Female
alois	4051.0	262.0	4313.0	0.9392534198933457	0.0607465801066543	0.9392534198933457	Male
aloise	1776.0	381.0	2157.0	0.8233657858136301	0.17663421418636996	0.8233657858136301	Male
aloisia	0.0	24.0	24.0	0.0	1.0	1.0	Female
alon	313.0	0.0	313.0	1.0	0.0	1.0	Male
alona	0.0	113.0	113.0	0.0	1.0	1.0	Female
alondra	0.0	22.0	22.0	0.0	1.0	1.0	Female
alone	213.0	0.0	213.0	1.0	0.0	1.0	Male
alonn	23.0	0.0	23.0	1.0	0.0	1.0	Male
alonso	404.0	0.0	404.0	1.0	0.0	1.0	Male
alonzo	1039.0	0.0	1039.0	1.0	0.0	1.0	Male
alou	94.0	0.0	94.0	1.0	0.0	1.0	Male
aloy	0.0	56.0	56.0	0.0	1.0	1.0	Female
aloys	1440.0	0.0	1440.0	1.0	0.0	1.0	Male
aloyse	2593.0	162.0	2755.0	0.9411978221415608	0.0588021778584392	0.9411978221415608	Male
aloysia	0.0	117.0	117.0	0.0	1.0	1.0	Female
aloé	0.0	27.0	27.0	0.0	1.0	1.0	Female
aloïs	3401.0	121.0	3522.0	0.9656445201590006	0.03435547984099943	0.9656445201590006	Male
aloïse	0.0	331.0	331.0	0.0	1.0	1.0	Female
aloÿs	42.0	0.0	42.0	1.0	0.0	1.0	Male
alp	165.0	0.0	165.0	1.0	0.0	1.0	Male
alparslan	291.0	0.0	291.0	1.0	0.0	1.0	Male
alpaslan	171.0	0.0	171.0	1.0	0.0	1.0	Male
alpay	118.0	0.0	118.0	1.0	0.0	1.0	Male
alper	455.0	0.0	455.0	1.0	0.0	1.0	Male
alperen	601.0	0.0	601.0	1.0	0.0	1.0	Male
alpha	1009.0	0.0	1009.0	1.0	0.0	1.0	Male
alpha-oumar	78.0	0.0	78.0	1.0	0.0	1.0	Male
alphee	136.0	30.0	166.0	0.8192771084337349	0.18072289156626506	0.8192771084337349	Male
alphena	0.0	27.0	27.0	0.0	1.0	1.0	Female
alphonsa	0.0	24.0	24.0	0.0	1.0	1.0	Female
alphonse	43539.0	111.0	43650.0	0.9974570446735396	0.002542955326460481	0.9974570446735396	Male
alphonsia	0.0	116.0	116.0	0.0	1.0	1.0	Female
alphonsina	0.0	22.0	22.0	0.0	1.0	1.0	Female
alphonsine	0.0	13358.0	13358.0	0.0	1.0	1.0	Female
alphonso	195.0	0.0	195.0	1.0	0.0	1.0	Male
alphée	32.0	0.0	32.0	1.0	0.0	1.0	Male
alric	400.0	0.0	400.0	1.0	0.0	1.0	Male
alrick	355.0	0.0	355.0	1.0	0.0	1.0	Male
alrik	115.0	0.0	115.0	1.0	0.0	1.0	Male
alsace	0.0	122.0	122.0	0.0	1.0	1.0	Female
alseny	120.0	0.0	120.0	1.0	0.0	1.0	Male
altair	21.0	0.0	21.0	1.0	0.0	1.0	Male
altan	162.0	0.0	162.0	1.0	0.0	1.0	Male
altay	79.0	0.0	79.0	1.0	0.0	1.0	Male
altaïr	87.0	0.0	87.0	1.0	0.0	1.0	Male
altea	0.0	73.0	73.0	0.0	1.0	1.0	Female
althea	0.0	285.0	285.0	0.0	1.0	1.0	Female
althéa	0.0	151.0	151.0	0.0	1.0	1.0	Female
altin	55.0	0.0	55.0	1.0	0.0	1.0	Male
altina	0.0	34.0	34.0	0.0	1.0	1.0	Female
altino	29.0	0.0	29.0	1.0	0.0	1.0	Male
altéa	0.0	20.0	20.0	0.0	1.0	1.0	Female
aluna	0.0	28.0	28.0	0.0	1.0	1.0	Female
